,0,1,2,3,4,5,6,7,8
2073,0.07137,0.81115,0.49802,0.18549,0.80749,0.51649,0.29816,0.81144,0.53319
2074,0.07049,0.81153,0.49795,0.18528,0.80814,0.51642,0.29764,0.81186,0.53311
2075,0.06991,0.81165,0.49794,0.18499,0.80844,0.51635,0.29721,0.81205,0.53313
2076,0.0692,0.81168,0.49768,0.18471,0.80807,0.51603,0.29724,0.81185,0.53287
2077,0.06941,0.81135,0.49775,0.18507,0.80792,0.516,0.2976,0.81132,0.53295
2078,0.0698,0.81098,0.49799,0.18598,0.80767,0.51607,0.29863,0.81105,0.53313
2079,0.06951,0.81043,0.49795,0.18666,0.80727,0.51637,0.29929,0.81072,0.53312
2080,0.07001,0.8107,0.49797,0.18693,0.80718,0.51615,0.2998,0.81114,0.53282
2081,0.07058,0.8111,0.49773,0.18843,0.8081,0.51591,0.30071,0.81204,0.53252
2082,0.07131,0.81278,0.4982,0.18881,0.8084,0.5159,0.30253,0.81264,0.53281
2083,0.07115,0.81224,0.49917,0.1911,0.80963,0.51645,0.30393,0.81265,0.53272
2084,0.07124,0.81078,0.49997,0.19095,0.80776,0.51651,0.30353,0.8119,0.53291
2085,0.07678,0.81136,0.49999,0.19112,0.80679,0.51748,0.30386,0.81196,0.53377
2086,0.07716,0.81184,0.50024,0.19279,0.80825,0.51799,0.30597,0.8119,0.53414
2087,0.07875,0.81087,0.50081,0.19516,0.80836,0.51777,0.3075,0.81166,0.53397
2088,0.07933,0.81024,0.50122,0.19633,0.80689,0.51789,0.30893,0.8104,0.53388
2089,0.08057,0.81042,0.50143,0.19724,0.80626,0.51797,0.30995,0.81048,0.53421
2090,0.08194,0.81154,0.50178,0.19978,0.80795,0.51866,0.31194,0.8119,0.53443
2091,0.08326,0.81097,0.50167,0.20109,0.80884,0.51807,0.31377,0.81203,0.5338
2092,0.08545,0.81081,0.50231,0.20341,0.80735,0.51774,0.31586,0.8116,0.53337
2093,0.08627,0.81097,0.50238,0.20565,0.80651,0.51831,0.31829,0.81082,0.53365
2094,0.08823,0.81124,0.5029,0.20803,0.80809,0.51846,0.31968,0.81129,0.53364
2095,0.09069,0.8108,0.50281,0.21151,0.80761,0.51828,0.32418,0.81139,0.53321
2096,0.09327,0.81022,0.50323,0.21342,0.8073,0.51825,0.32695,0.81067,0.53313
2097,0.09554,0.81029,0.50356,0.21622,0.80649,0.51863,0.32953,0.81057,0.53331
2098,0.09713,0.81014,0.50363,0.22,0.80732,0.51836,0.33287,0.81087,0.53271
2099,0.10016,0.81009,0.50377,0.22324,0.80702,0.51815,0.3361,0.81062,0.5325
2100,0.10278,0.81005,0.50355,0.22541,0.80662,0.51801,0.33881,0.81047,0.53178
2101,0.10634,0.8099,0.5035,0.22997,0.80669,0.51701,0.343,0.81067,0.53083
2102,0.10856,0.81031,0.50341,0.23408,0.8066,0.51664,0.34708,0.81072,0.53037
2103,0.11978,0.8114,0.50274,0.23724,0.80747,0.51666,0.34962,0.81114,0.53002
2104,0.12138,0.81119,0.50271,0.24066,0.80811,0.5164,0.354,0.81205,0.52997
2105,0.12512,0.8108,0.50283,0.24216,0.80737,0.51647,0.35577,0.81179,0.53005
2106,0.13139,0.8109,0.5025,0.2449,0.80716,0.51705,0.35911,0.81141,0.53054
2107,0.13371,0.8109,0.50254,0.24957,0.80749,0.51707,0.36203,0.81135,0.53073
2108,0.13686,0.81054,0.50268,0.25348,0.80747,0.51693,0.36751,0.81125,0.53072
2109,0.13981,0.81073,0.50267,0.25552,0.80746,0.5173,0.36973,0.81132,0.53098
2110,0.14291,0.81067,0.50185,0.25884,0.80775,0.51665,0.3728,0.81188,0.53059
2111,0.14514,0.81054,0.50116,0.26223,0.80729,0.51549,0.37651,0.81152,0.52951
2112,0.14867,0.81051,0.50067,0.26604,0.80699,0.51512,0.38049,0.81111,0.52928
2113,0.15054,0.81096,0.5007,0.26902,0.80758,0.51518,0.38419,0.81162,0.52906
2114,0.15463,0.81057,0.49925,0.27262,0.80821,0.51452,0.38688,0.81212,0.52872
2115,0.15751,0.81027,0.49873,0.27589,0.80738,0.5134,0.39051,0.81155,0.52752
2116,0.16606,0.81063,0.49633,0.28014,0.80667,0.51166,0.39364,0.81135,0.52652
2117,0.16988,0.8113,0.49543,0.2839,0.80766,0.51139,0.39862,0.81121,0.52577
2118,0.17295,0.81125,0.49341,0.28629,0.80804,0.50995,0.40145,0.8122,0.52458
2119,0.17766,0.81103,0.49146,0.29034,0.80774,0.5083,0.40535,0.81173,0.52251
2120,0.18063,0.81055,0.49037,0.29341,0.80686,0.50647,0.4102,0.8114,0.52017
2121,0.18635,0.81109,0.48939,0.29884,0.80678,0.50489,0.41483,0.81099,0.51943
2122,0.18913,0.81177,0.48847,0.30228,0.80745,0.50459,0.41964,0.81197,0.51881
2123,0.19498,0.81085,0.48627,0.30708,0.80864,0.50302,0.42244,0.81242,0.51773
